Estación: Barrio del Pilar;;;;
Fecha;Hora;CO;NO2;O3
;;mg/m³;µg/m³;µg/m³
22/03/2016;01:00;0.2;14;73
22/03/2016;02:00;0.2;10;77
22/03/2016;03:00;0.2;9;75
22/03/2016;04:00;0.2;3;81
22/03/2016;05:00;0.2;3;81
22/03/2016;06:00;0.2;6;79
22/03/2016;07:00;0.2;24;59
22/03/2016;08:00;0.3;48;37
22/03/2016;09:00;0.3;40;43
22/03/2016;10:00;0.3;41;44
22/03/2016;11:00;0.3;20;68
22/03/2016;12:00;0.3;17;74
22/03/2016;13:00;0.2;14;84
22/03/2016;14:00;0.3;16;88
22/03/2016;15:00;0.3;15;94
22/03/2016;16:00;0.4;29;81
22/03/2016;17:00;0.3;23;82
22/03/2016;18:00;0.3;26;81
22/03/2016;19:00;0.3;30;75
22/03/2016;20:00;0.4;57;39
22/03/2016;21:00;0.4;73;17
22/03/2016;22:00;0.4;51;42
22/03/2016;23:00;0.4;72;16
22/03/2016;24:00;0.4;61;28
23/03/2016;01:00;0.3;25;62
23/03/2016;02:00;0.3;21;64
23/03/2016;03:00;0.3;40;39
23/03/2016;04:00;0.4;52;19
23/03/2016;05:00;0.4;47;8
23/03/2016;06:00;0.4;42;8
23/03/2016;07:00;0.5;68;8
23/03/2016;08:00;0.6;71;9
23/03/2016;09:00;0.9;76;10
23/03/2016;10:00;0.7;63;29
23/03/2016;11:00;0.3;27;66
23/03/2016;12:00;0.3;13;88
23/03/2016;13:00;0.2;10;92
23/03/2016;14:00;0.3;10;98
23/03/2016;15:00;0.3;11;99
23/03/2016;16:00;0.3;12;99
23/03/2016;17:00;0.2;11;98
23/03/2016;18:00;0.2;8;101
23/03/2016;19:00;0.2;13;92
23/03/2016;20:00;0.2;23;79
23/03/2016;21:00;0.5;40;56
23/03/2016;22:00;0.6;49;43
23/03/2016;23:00;0.5;66;25
23/03/2016;24:00;0.4;47;44
24/03/2016;01:00;0.3;18;76
24/03/2016;02:00;0.3;25;64
24/03/2016;03:00;0.3;16;77
24/03/2016;04:00;0.3;16;59
24/03/2016;05:00;0.3;34;31
24/03/2016;06:00;0.3;27;33
24/03/2016;07:00;0.3;44;17
24/03/2016;08:00;0.4;45;9
24/03/2016;09:00;0.5;52;22
24/03/2016;10:00;0.4;37;53
24/03/2016;11:00;0.3;21;73
24/03/2016;12:00;0.3;20;76
24/03/2016;13:00;0.3;24;76
24/03/2016;14:00;0.4;38;71
24/03/2016;15:00;0.3;32;78
24/03/2016;16:00;0.3;21;89
24/03/2016;17:00;0.2;10;105
24/03/2016;18:00;0.3;15;102
24/03/2016;19:00;0.3;21;93
24/03/2016;20:00;0.3;45;63
24/03/2016;21:00;0.4;59;47
24/03/2016;22:00;0.4;59;44
24/03/2016;23:00;0.7;99;9
24/03/2016;24:00;0.6;88;9
25/03/2016;01:00;0.8;93;9
25/03/2016;02:00;0.9;89;9
25/03/2016;03:00;0.8;84;8
25/03/2016;04:00;0.5;64;10
25/03/2016;05:00;0.4;58;11
25/03/2016;06:00;0.5;53;9
25/03/2016;07:00;0.4;41;8
25/03/2016;08:00;0.5;43;9
25/03/2016;09:00;0.5;45;13
25/03/2016;10:00;0.6;51;25
25/03/2016;11:00;0.5;44;40
25/03/2016;12:00;0.4;36;59
25/03/2016;13:00;0.4;36;68
25/03/2016;14:00;0.3;26;84
25/03/2016;15:00;0.3;16;98
25/03/2016;16:00;0.3;17;97
25/03/2016;17:00;0.3;24;89
25/03/2016;18:00;0.3;17;99
25/03/2016;19:00;0.3;12;100
25/03/2016;20:00;0.3;42;61
25/03/2016;21:00;0.4;52;44
25/03/2016;22:00;0.5;54;39
25/03/2016;23:00;0.5;60;28
25/03/2016;24:00;0.6;73;13
26/03/2016;01:00;0.5;58;23
26/03/2016;02:00;0.4;58;16
26/03/2016;03:00;0.5;61;10
26/03/2016;04:00;0.5;59;9
26/03/2016;05:00;0.4;50;9
26/03/2016;06:00;0.3;31;10
26/03/2016;07:00;0.4;36;9
26/03/2016;08:00;0.6;45;9
26/03/2016;09:00;0.5;43;18
26/03/2016;10:00;0.5;37;24
26/03/2016;11:00;0.5;40;38
26/03/2016;12:00;0.4;26;59
26/03/2016;13:00;0.3;14;67
26/03/2016;14:00;0.3;12;64
26/03/2016;15:00;0.3;13;62
26/03/2016;16:00;0.2;10;63
26/03/2016;17:00;0.2;7;58
26/03/2016;18:00;0.2;8;53
26/03/2016;19:00;0.2;11;51
26/03/2016;20:00;0.3;16;47
26/03/2016;21:00;0.2;19;42
26/03/2016;22:00;0.3;22;38
26/03/2016;23:00;0.3;23;36
26/03/2016;24:00;0.3;16;43
27/03/2016;01:00;0.2;9;49
27/03/2016;02:00;0.2;6;48
27/03/2016;03:00;0.2;5;50
27/03/2016;04:00;0.2;4;64
27/03/2016;05:00;0.2;3;89
27/03/2016;06:00;0.2;4;90
27/03/2016;07:00;0.2;3;92
27/03/2016;08:00;0.2;6;89
27/03/2016;09:00;0.3;11;83
27/03/2016;10:00;0.3;9;87
27/03/2016;11:00;0.3;8;84
27/03/2016;12:00;0.3;10;82
27/03/2016;13:00;0.3;10;80
27/03/2016;14:00;0.3;12;80
27/03/2016;15:00;0.3;12;81
27/03/2016;16:00;0.3;8;84
27/03/2016;17:00;0.3;10;85
27/03/2016;18:00;0.2;10;85
27/03/2016;19:00;0.2;14;82
27/03/2016;20:00;0.3;18;72
27/03/2016;21:00;0.3;28;60
27/03/2016;22:00;0.3;30;55
27/03/2016;23:00;0.3;21;61
27/03/2016;24:00;0.3;16;63
28/03/2016;01:00;0.3;12;65
28/03/2016;02:00;0.2;9;67
28/03/2016;03:00;0.2;5;70
28/03/2016;04:00;0.2;5;69
28/03/2016;05:00;0.2;6;65
28/03/2016;06:00;0.2;7;63
28/03/2016;07:00;0.3;16;55
28/03/2016;08:00;0.3;30;45
28/03/2016;09:00;0.3;38;39
28/03/2016;10:00;0.3;37;41
28/03/2016;11:00;0.3;29;53
28/03/2016;12:00;0.3;27;53
28/03/2016;13:00;0.3;27;49
28/03/2016;14:00;0.3;23;54
28/03/2016;15:00;0.3;22;57
28/03/2016;16:00;0.3;19;61
28/03/2016;17:00;0.3;17;63
28/03/2016;18:00;0.3;22;59
28/03/2016;19:00;0.3;27;53
28/03/2016;20:00;0.3;29;50
28/03/2016;21:00;0.3;34;44
28/03/2016;22:00;0.3;33;45
28/03/2016;23:00;0.3;26;50
28/03/2016;24:00;0.3;19;56
29/03/2016;01:00;0.2;11;63
29/03/2016;02:00;0.2;8;63
29/03/2016;03:00;0.2;9;58
29/03/2016;04:00;0.2;6;63
29/03/2016;05:00;0.2;5;66
29/03/2016;06:00;0.2;7;62
29/03/2016;07:00;0.3;18;53
29/03/2016;08:00;0.4;38;37
29/03/2016;09:00;0.4;49;28
29/03/2016;10:00;0.4;45;35
29/03/2016;11:00;0.3;34;47
29/03/2016;12:00;0.3;24;62
29/03/2016;13:00;0.3;24;68
29/03/2016;14:00;0.3;28;68
29/03/2016;15:00;0.3;23;78
29/03/2016;16:00;0.3;21;82
29/03/2016;17:00;0.3;17;87
29/03/2016;18:00;0.3;23;80
29/03/2016;19:00;0.3;28;75
29/03/2016;20:00;0.3;29;71
29/03/2016;21:00;0.3;46;50
29/03/2016;22:00;0.4;66;27
29/03/2016;23:00;0.3;51;38
29/03/2016;24:00;0.3;42;46
